,English Name,Scientific Name,SoIB 2023 Priority Status,Order,Family,Endemicity,Habitat Specialization,IUCN Category,CITES Appendix,source
346,Grey-backed Shrike,Lanius tephronotus,Low,Passeriformes,Laniidae (Shrikes),Non-endemic,Open Habitat,Least Concern,,West_Bengal
347,Great Grey Shrike,Lanius excubitor,High,Passeriformes,Laniidae (Shrikes),Non-endemic,Grassland,Least Concern,,West_Bengal
348,Eurasian Jay,Garrulus glandarius,Low,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Non-endemic,Forest,Least Concern,,West_Bengal
349,Yellow-billed Blue Magpie,Urocissa flavirostris,Low,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Himalayas,Forest,Least Concern,,West_Bengal
350,Red-billed Blue Magpie,Urocissa erythroryncha,Low,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Non-endemic,Non-specialized,Least Concern,,West_Bengal
351,Common Green Magpie,Cissa chinensis,Low,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Non-endemic,Forest,Least Concern,,West_Bengal
352,Rufous Treepie,Dendrocitta vagabunda,Low,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Non-endemic,Non-specialized,Least Concern,,West_Bengal
353,Grey Treepie,Dendrocitta formosae,Low,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Non-endemic,Forest,Least Concern,,West_Bengal
354,Collared Treepie,Dendrocitta frontalis,Moderate,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Non-endemic,Forest,Least Concern,,West_Bengal
355,Spotted Nutcracker,Nucifraga caryocatactes,Low,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Non-endemic,Forest,Least Concern,,West_Bengal
356,House Crow,Corvus splendens,Low,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Non-endemic,Non-specialized,Least Concern,,West_Bengal
357,Large-billed Crow,Corvus macrorhynchos,Low,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Non-endemic,Non-specialized,Least Concern,,West_Bengal
358,Yellow-bellied Fantail,Chelidorhynx hypoxanthus,Moderate,Passeriformes,Stenostiridae (Fairy Flycatchers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
359,Grey-headed Canary-flycatcher,Culicicapa ceylonensis,Moderate,Passeriformes,Stenostiridae (Fairy Flycatchers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
360,Yellow-browed Tit,Sylviparus modestus,Moderate,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Non-endemic,Forest,Least Concern,,West_Bengal
361,Sultan Tit,Melanochlora sultanea,Low,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
362,Coal Tit,Periparus ater,Low,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Non-endemic,Forest,Least Concern,,West_Bengal
363,Rufous-vented Tit,Periparus rubidiventris,High,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Non-endemic,Forest,Least Concern,,West_Bengal
364,Grey-crested Tit,Lophophanes dichrous,High,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Non-endemic,Forest,Least Concern,,West_Bengal
365,Green-backed Tit,Parus monticolus,Low,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Non-endemic,Non-specialized,Least Concern,,West_Bengal
366,Cinereous Tit,Parus cinereus,Low,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Non-endemic,Non-specialized,Least Concern,,West_Bengal
367,Himalayan Black-lored Tit,Machlolophus xanthogenys,Low,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Himalayas,Forest & Plantation,Least Concern,,West_Bengal
368,Indian Black-lored Tit,Machlolophus aplonotus,Low,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Mainland India,Forest & Plantation,Not Recognised,,West_Bengal
369,Yellow-cheeked Tit,Machlolophus spilonotus,Low,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Non-endemic,Forest,Least Concern,,West_Bengal
370,Rufous-tailed Lark,Ammomanes phoenicura,High,Passeriformes,Alaudidae (Larks),Indian Subcontinent,Open Habitat,Least Concern,,West_Bengal
371,Ashy-crowned Sparrow Lark,Eremopterix griseus,Moderate,Passeriformes,Alaudidae (Larks),Indian Subcontinent,Open Habitat,Least Concern,,West_Bengal
372,Bengal Bushlark,Mirafra assamica,Low,Passeriformes,Alaudidae (Larks),Indian Subcontinent,Open Habitat,Least Concern,,West_Bengal
373,Jerdon's Bushlark,Mirafra affinis,Low,Passeriformes,Alaudidae (Larks),Indian Subcontinent,Open Habitat,Least Concern,,West_Bengal
374,Indian Bushlark,Mirafra erythroptera,Moderate,Passeriformes,Alaudidae (Larks),Indian Subcontinent,Open Habitat,Least Concern,,West_Bengal
375,Greater Short-toed Lark,Calandrella brachydactyla,Moderate,Passeriformes,Alaudidae (Larks),Non-endemic,Open Habitat,Least Concern,,West_Bengal
376,Hume's Short-toed Lark,Calandrella acutirostris,Moderate,Passeriformes,Alaudidae (Larks),Non-endemic,Open Habitat,Least Concern,,West_Bengal
377,Sand Lark,Alaudala raytal,Moderate,Passeriformes,Alaudidae (Larks),Non-endemic,Open Habitat,Least Concern,,West_Bengal
378,Oriental Skylark,Alauda gulgula,High,Passeriformes,Alaudidae (Larks),Non-endemic,Open Habitat,Least Concern,,West_Bengal
379,Common Tailorbird,Orthotomus sutorius,Low,Passeriformes,Cisticolidae (Cisticolas and Allies),Non-endemic,Non-specialized,Least Concern,,West_Bengal
380,Himalayan Prinia,Prinia crinigera,Low,Passeriformes,Cisticolidae (Cisticolas and Allies),Non-endemic,Grassland & Scrub,Least Concern,,West_Bengal
381,Black-throated Prinia,Prinia atrogularis,Moderate,Passeriformes,Cisticolidae (Cisticolas and Allies),Eastern Himalayas,Grassland & Scrub,Least Concern,,West_Bengal
382,Rufescent Prinia,Prinia rufescens,Low,Passeriformes,Cisticolidae (Cisticolas and Allies),Non-endemic,Forest,Least Concern,,West_Bengal
383,Grey-breasted Prinia,Prinia hodgsonii,Low,Passeriformes,Cisticolidae (Cisticolas and Allies),Non-endemic,Non-specialized,Least Concern,,West_Bengal
384,Delicate Prinia,Prinia lepida,Low,Passeriformes,Cisticolidae (Cisticolas and Allies),Non-endemic,Grassland,Not Recognised,,West_Bengal
385,Jungle Prinia,Prinia sylvatica,Low,Passeriformes,Cisticolidae (Cisticolas and Allies),Indian Subcontinent,Forest,Least Concern,,West_Bengal
386,Yellow-bellied Prinia,Prinia flaviventris,Low,Passeriformes,Cisticolidae (Cisticolas and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
387,Ashy Prinia,Prinia socialis,Low,Passeriformes,Cisticolidae (Cisticolas and Allies),Indian Subcontinent,Non-specialized,Least Concern,,West_Bengal
388,Plain Prinia,Prinia inornata,Low,Passeriformes,Cisticolidae (Cisticolas and Allies),Non-endemic,Non-specialized,Least Concern,,West_Bengal
389,Zitting Cisticola,Cisticola juncidis,Low,Passeriformes,Cisticolidae (Cisticolas and Allies),Non-endemic,Open Habitat,Least Concern,,West_Bengal
390,Golden-headed Cisticola,Cisticola exilis,Moderate,Passeriformes,Cisticolidae (Cisticolas and Allies),Non-endemic,Grassland,Least Concern,,West_Bengal
391,Thick-billed Warbler,Arundinax aedon,Moderate,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Non-endemic,Non-specialized,Least Concern,,West_Bengal
392,Booted Warbler,Iduna caligata,Low,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Non-endemic,Open Habitat,Least Concern,,West_Bengal
393,Paddyfield Warbler,Acrocephalus agricola,Low,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
394,Blyth's Reed Warbler,Acrocephalus dumetorum,Low,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Non-endemic,Non-specialized,Least Concern,,West_Bengal
395,Clamorous Reed Warbler,Acrocephalus stentoreus,Low,Passeriformes,Acrocephalidae (Reed Warblers and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
396,Rusty-rumped Warbler,Helopsaltes certhiola,Moderate,Passeriformes,Locustellidae (Grassbirds and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
397,Bristled Grassbird,Schoenicola striatus,High,Passeriformes,Locustellidae (Grassbirds and Allies),Indian Subcontinent,Wetland,Vulnerable,,West_Bengal
398,Striated Grassbird,Megalurus palustris,Low,Passeriformes,Locustellidae (Grassbirds and Allies),Non-endemic,Wetland,Least Concern,,West_Bengal
399,Scaly-breasted Wren Babbler,Pnoepyga albiventer,Low,Passeriformes,Pnoepygidae (Cupwings),Non-endemic,Forest,Least Concern,,West_Bengal
400,Pygmy Wren Babbler,Pnoepyga pusilla,Low,Passeriformes,Pnoepygidae (Cupwings),Non-endemic,Forest,Least Concern,,West_Bengal
401,Grey-throated Martin,Riparia chinensis,Moderate,Passeriformes,Hirundinidae (Swallows),Non-endemic,Wetland,Least Concern,,West_Bengal
402,Sand Martin,Riparia riparia,Low,Passeriformes,Hirundinidae (Swallows),Non-endemic,Wetland,Least Concern,,West_Bengal
403,Eurasian Crag Martin,Ptyonoprogne rupestris,High,Passeriformes,Hirundinidae (Swallows),Non-endemic,Alpine & Cold Desert,Least Concern,,West_Bengal
404,Dusky Crag Martin,Ptyonoprogne concolor,Moderate,Passeriformes,Hirundinidae (Swallows),Non-endemic,Non-specialized,Least Concern,,West_Bengal
405,Barn Swallow,Hirundo rustica,Moderate,Passeriformes,Hirundinidae (Swallows),Non-endemic,Non-specialized,Least Concern,,West_Bengal
406,Wire-tailed Swallow,Hirundo smithii,Low,Passeriformes,Hirundinidae (Swallows),Non-endemic,Non-specialized,Least Concern,,West_Bengal
407,Red-rumped Swallow,Cecropis daurica,Low,Passeriformes,Hirundinidae (Swallows),Non-endemic,Non-specialized,Least Concern,,West_Bengal
408,Streak-throated Swallow,Petrochelidon fluvicola,Low,Passeriformes,Hirundinidae (Swallows),Non-endemic,Open Habitat,Least Concern,,West_Bengal
409,Asian House Martin,Delichon dasypus,Moderate,Passeriformes,Hirundinidae (Swallows),Non-endemic,Non-specialized,Least Concern,,West_Bengal
410,Nepal House Martin,Delichon nipalense,Low,Passeriformes,Hirundinidae (Swallows),Non-endemic,Non-specialized,Least Concern,,West_Bengal
411,Black-crested Bulbul,Rubigula flaviventris,Low,Passeriformes,Pycnonotidae (Bulbuls),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
412,Striated Bulbul,Alcurus striatus,Moderate,Passeriformes,Pycnonotidae (Bulbuls),Non-endemic,Forest,Least Concern,,West_Bengal
413,Red-vented Bulbul,Pycnonotus cafer,Low,Passeriformes,Pycnonotidae (Bulbuls),Non-endemic,Non-specialized,Least Concern,,West_Bengal
414,Red-whiskered Bulbul,Pycnonotus jocosus,Low,Passeriformes,Pycnonotidae (Bulbuls),Non-endemic,Non-specialized,Least Concern,,West_Bengal
415,Himalayan Bulbul,Pycnonotus leucogenys,Low,Passeriformes,Pycnonotidae (Bulbuls),Himalayas,Non-specialized,Least Concern,,West_Bengal
416,White-browed Bulbul,Pycnonotus luteolus,Low,Passeriformes,Pycnonotidae (Bulbuls),Indian Subcontinent,Forest & Plantation,Least Concern,,West_Bengal
417,White-throated Bulbul,Alophoixus flaveolus,Low,Passeriformes,Pycnonotidae (Bulbuls),Non-endemic,Forest,Least Concern,,West_Bengal
418,Black Bulbul,Hypsipetes leucocephalus,Low,Passeriformes,Pycnonotidae (Bulbuls),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
419,Ashy Bulbul,Hemixos flavala,Low,Passeriformes,Pycnonotidae (Bulbuls),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
420,Mountain Bulbul,Ixos mcclellandii,Moderate,Passeriformes,Pycnonotidae (Bulbuls),Non-endemic,Forest,Least Concern,,West_Bengal
421,Ashy-throated Warbler,Phylloscopus maculipennis,Moderate,Passeriformes,Phylloscopidae (Leaf Warblers),Non-endemic,Forest,Least Concern,,West_Bengal
422,Buff-barred Warbler,Phylloscopus pulcher,Low,Passeriformes,Phylloscopidae (Leaf Warblers),Non-endemic,Forest,Least Concern,,West_Bengal
423,Yellow-browed Warbler,Phylloscopus inornatus,Low,Passeriformes,Phylloscopidae (Leaf Warblers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
424,Hume's Warbler,Phylloscopus humei,Low,Passeriformes,Phylloscopidae (Leaf Warblers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
425,Lemon-rumped Warbler,Phylloscopus chloronotus,Moderate,Passeriformes,Phylloscopidae (Leaf Warblers),Non-endemic,Forest & Plantation,Least Concern,,West_Bengal
426,Sulphur-bellied Warbler,Phylloscopus griseolus,High,Passeriformes,Phylloscopidae (Leaf Warblers),Non-endemic,Non-specialized,Least Concern,,West_Bengal
